latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
30.009753,-82.87414,017,039,2322,4979,2025-07-17,1601,L9,high,D
30.009483,-82.874135,017,039,2322,4980,2025-07-17,1601,L9,medium,D
30.006249,-82.873141,017,039,2325,4992,2025-07-17,1601,L9,high,D
31.20362,-82.888462,017,039,2350,567,2025-07-17,1601,L9,high,D
31.20335,-82.888456,017,039,2350,568,2025-07-17,1601,L9,high,D
31.203079,-82.888451,017,039,2350,569,2025-07-17,1601,L9,high,D
31.203896,-82.888152,017,039,2351,566,2025-07-17,1601,L9,high,D
31.203625,-82.888147,017,039,2351,567,2025-07-17,1601,L9,high,D
31.203355,-82.888142,017,039,2351,568,2025-07-17,1601,L9,high,D
31.203084,-82.888136,017,039,2351,569,2025-07-17,1601,L9,high,D
31.20363,-82.887832,017,039,2352,567,2025-07-17,1601,L9,low,D
31.203359,-82.887827,017,039,2352,568,2025-07-17,1601,L9,high,D
30.313654,-82.858686,017,039,2390,3857,2025-07-17,1601,L9,medium,D
30.313383,-82.858681,017,039,2390,3858,2025-07-17,1601,L9,medium,D
31.268019,-82.870525,017,039,2411,330,2025-07-17,1601,L9,high,D
31.268295,-82.870216,017,039,2412,329,2025-07-17,1601,L9,high,D
31.268024,-82.87021,017,039,2412,330,2025-07-17,1601,L9,high,D
31.267753,-82.870205,017,039,2412,331,2025-07-17,1601,L9,high,D
31.268029,-82.869895,017,039,2413,330,2025-07-17,1601,L9,high,D
31.287595,-82.864294,017,039,2432,258,2025-07-17,1601,L9,low,D
31.287324,-82.864289,017,039,2432,259,2025-07-17,1601,L9,high,D
31.189337,-82.789647,017,039,2663,625,2025-07-17,1601,L9,low,D
30.252742,-82.761825,017,039,2697,4087,2025-07-17,1601,L9,low,D
30.252746,-82.761514,017,039,2698,4087,2025-07-17,1601,L9,low,D
30.208108,-82.634506,017,039,3103,4258,2025-07-17,1601,L9,high,D
30.207837,-82.634502,017,039,3103,4259,2025-07-17,1601,L9,low,D
29.437916,-82.573775,017,039,3259,7106,2025-07-17,1601,L9,low,D
30.164398,-82.55622,017,039,3352,4423,2025-07-17,1601,L9,high,D
30.164128,-82.556216,017,039,3352,4424,2025-07-17,1601,L9,high,D
30.163857,-82.556212,017,039,3352,4425,2025-07-17,1601,L9,high,D
30.164402,-82.555909,017,039,3353,4423,2025-07-17,1601,L9,high,D
30.164131,-82.555904,017,039,3353,4424,2025-07-17,1601,L9,high,D
30.163861,-82.5559,017,039,3353,4425,2025-07-17,1601,L9,high,D
30.164135,-82.555593,017,039,3354,4424,2025-07-17,1601,L9,high,D
30.163864,-82.555589,017,039,3354,4425,2025-07-17,1601,L9,high,D
30.164413,-82.554974,017,039,3356,4423,2025-07-17,1601,L9,medium,D
30.164142,-82.55497,017,039,3356,4424,2025-07-17,1601,L9,high,D
30.163872,-82.554966,017,039,3356,4425,2025-07-17,1601,L9,high,D
30.164417,-82.554663,017,039,3357,4423,2025-07-17,1601,L9,medium,D
30.164146,-82.554659,017,039,3357,4424,2025-07-17,1601,L9,medium,D
30.163875,-82.554654,017,039,3357,4425,2025-07-17,1601,L9,high,D
30.16442,-82.554351,017,039,3358,4423,2025-07-17,1601,L9,high,D
30.164424,-82.55404,017,039,3359,4423,2025-07-17,1601,L9,high,D
30.164153,-82.554036,017,039,3359,4424,2025-07-17,1601,L9,high,D
29.650663,-82.506105,017,039,3488,6323,2025-07-17,1601,L9,high,D
29.64586,-82.321949,017,039,4082,6348,2025-07-17,1601,L9,high,D
31.178043,-82.285156,017,039,4265,689,2025-07-17,1601,L9,high,D
29.95323,-82.135435,017,039,4695,5219,2025-07-17,1601,L9,high,D
29.953233,-82.135124,017,039,4696,5219,2025-07-17,1601,L9,high,D
30.32367,-82.12221,017,039,4751,3851,2025-07-17,1601,L9,medium,D
30.323673,-82.121898,017,039,4752,3851,2025-07-17,1601,L9,medium,D
30.056437,-82.062857,017,039,4932,4840,2025-07-17,1601,L9,high,D
30.05671,-82.062549,017,039,4933,4839,2025-07-17,1601,L9,high,D
30.056439,-82.062546,017,039,4933,4840,2025-07-17,1601,L9,high,D
29.857162,-82.032166,017,039,5024,5577,2025-07-17,1601,L9,high,D
29.857435,-82.031858,017,039,5025,5576,2025-07-17,1601,L9,high,D
29.857164,-82.031855,017,039,5025,5577,2025-07-17,1601,L9,high,D
29.856894,-82.031852,017,039,5025,5578,2025-07-17,1601,L9,high,D
29.857711,-82.03124,017,039,5027,5575,2025-07-17,1601,L9,high,D
29.857713,-82.030929,017,039,5028,5575,2025-07-17,1601,L9,high,D
29.857442,-82.030926,017,039,5028,5576,2025-07-17,1601,L9,high,D
29.856901,-82.030921,017,039,5028,5578,2025-07-17,1601,L9,high,D
29.85663,-82.030918,017,039,5028,5579,2025-07-17,1601,L9,high,D
29.85636,-82.030915,017,039,5028,5580,2025-07-17,1601,L9,high,D
29.856903,-82.03061,017,039,5029,5578,2025-07-17,1601,L9,high,D
29.856633,-82.030607,017,039,5029,5579,2025-07-17,1601,L9,high,D
29.856362,-82.030605,017,039,5029,5580,2025-07-17,1601,L9,high,D
29.856091,-82.030602,017,039,5029,5581,2025-07-17,1601,L9,high,D
30.204385,-81.974995,017,039,5219,4296,2025-07-17,1601,L9,high,D
30.204388,-81.974684,017,039,5220,4296,2025-07-17,1601,L9,high,D
29.736326,-81.896295,017,039,5458,6027,2025-07-17,1601,L9,high,D
29.736055,-81.896293,017,039,5458,6028,2025-07-17,1601,L9,high,D
29.74668,-81.886459,017,039,5490,5989,2025-07-17,1601,L9,low,D
29.746682,-81.886149,017,039,5491,5989,2025-07-17,1601,L9,low,D
29.746411,-81.886147,017,039,5491,5990,2025-07-17,1601,L9,low,D
30.19172,-81.849907,017,039,5620,4346,2025-07-17,1601,L9,low,D
30.19145,-81.849904,017,039,5620,4347,2025-07-17,1601,L9,medium,D
30.191454,-81.849281,017,039,5622,4347,2025-07-17,1601,L9,high,D
30.191183,-81.849279,017,039,5622,4348,2025-07-17,1601,L9,high,D
30.191456,-81.848969,017,039,5623,4347,2025-07-17,1601,L9,high,D
30.49283,-81.74842,017,039,5953,3236,2025-07-17,1601,L9,high,D
30.492565,-81.74748,017,039,5956,3237,2025-07-17,1601,L9,high,D
30.492837,-81.747169,017,039,5957,3236,2025-07-17,1601,L9,high,D
30.492566,-81.747167,017,039,5957,3237,2025-07-17,1601,L9,high,D
29.410064,-81.721491,017,039,6014,7236,2025-07-17,1601,L9,low,D
30.689515,-81.721116,017,039,6045,2510,2025-07-17,1601,L9,high,D
30.689244,-81.721114,017,039,6045,2511,2025-07-17,1601,L9,high,D
30.689516,-81.720803,017,039,6046,2510,2025-07-17,1601,L9,high,D
